[Log] Move left: Extra score - 427.2 Avg number of moves 47.8 (ai.js, line 39)
[Log] Move right: Extra score - 470.4 Avg number of moves 49.8 (ai.js, line 39)
[Log] Move left: Extra score - 523.2 Avg number of moves 53.4 (ai.js, line 39)
[Log] Move down: Extra score - 628.8 Avg number of moves 58.4 (ai.js, line 39)
[Log] Move left: Extra score - 547.2 Avg number of moves 52.8 (ai.js, line 39)
[Log] Move down: Extra score - 373.6 Avg number of moves 40.6 (ai.js, line 39)
[Log] Move left: Extra score - 636 Avg number of moves 59.6 (ai.js, line 39)
[Log] Move right: Extra score - 509.6 Avg number of moves 48.2 (ai.js, line 39)
[Log] Move down: Extra score - 948.8 Avg number of moves 67 (ai.js, line 39)
[Log] Move up: Extra score - 676.8 Avg number of moves 63.4 (ai.js, line 39)
[Log] Move right: Extra score - 569.6 Avg number of moves 54 (ai.js, line 39)
[Log] Move down: Extra score - 756 Avg number of moves 63.8 (ai.js, line 39)
[Log] Move down: Extra score - 565.6 Avg number of moves 52.4 (ai.js, line 39)
[Log] Move left: Extra score - 380 Avg number of moves 33.4 (ai.js, line 39)
[Log] Move down: Extra score - 587.2 Avg number of moves 48.4 (ai.js, line 39)
[Log] Move left: Extra score - 617.6 Avg number of moves 56.8 (ai.js, line 39)
[Log] Move right: Extra score - 492.8 Avg number of moves 50.6 (ai.js, line 39)
[Log] Move right: Extra score - 532 Avg number of moves 54 (ai.js, line 39)
[Log] Move left: Extra score - 464.8 Avg number of moves 46.4 (ai.js, line 39)
[Log] Move left: Extra score - 548.8 Avg number of moves 52.8 (ai.js, line 39)
[Log] Move right: Extra score - 424 Avg number of moves 42.8 (ai.js, line 39)
[Log] Move down: Extra score - 612 Avg number of moves 53.2 (ai.js, line 39)
[Log] Move left: Extra score - 486.4 Avg number of moves 42.6 (ai.js, line 39)
[Log] Move up: Extra score - 643.2 Avg number of moves 59.4 (ai.js, line 39)
[Log] Move down: Extra score - 432 Avg number of moves 47.4 (ai.js, line 39)
[Log] Move down: Extra score - 536 Avg number of moves 49 (ai.js, line 39)
